Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Custom Library Id,Conn 1 Type,Conn 0 Type,Value,Height,Dm,Dx,Dy,Sheetno,Dr,Footprint Variant Name 13,Footprint Variant Name 12,Footprint Variant Name 11,Footprint Variant Name 10,Footprint Variant Name 17,Footprint Variant Name 16,Footprint Variant Name 15,Footprint Variant Name 14,Footprint Variant Name 9,Footprint Variant Name 8,Footprint Variant Name 7,Footprint Variant Name 6,Footprint Variant Name 5,Footprint Variant Name 4,Footprint Variant Name 3,Footprint Variant Name 2,Footprint Variant Name 1,Footprint Variant Name 0,Footprint Variant Name 18,Conn 7 Type,Conn 3 Type,Conn 4 Type,Conn 5 Type,Conn 8 Type,Conn 6 Type,Conn 2 Type,Conn 10 Type,Conn 11 Type,Conn 16 Type,Conn 13 Type,Conn 15 Type,Conn 12 Type,Conn 9 Type,Conn 14 Type,Conn 22 Type,Conn 19 Type,Conn 17 Type,Conn 20 Type,Conn 18 Type,Conn 25 Type,Mpn,Conn 21 Type,Oc Farnell,Oc Newark,Conn 24 Type,Conn 23 Type,Conn 76 Type,Conn 34 Type,Conn 67 Type,Conn 54 Type,Conn 51 Type,Conn 28 Type,Conn 88 Type,Conn 40 Type,Conn 78 Type,Conn 81 Type,Conn 73 Type,Conn 39 Type,Conn 42 Type,Conn 80 Type,Conn 93 Type,Conn 43 Type,Conn 46 Type,Conn 91 Type,Conn 48 Type,Conn 58 Type,Conn 95 Type,Conn 41 Type,Conn 53 Type,Conn 77 Type,Conn 96 Type,Conn 83 Type,Conn 38 Type,Conn 70 Type,Digi-Key Purchase Url,Conn 86 Type,Conn 75 Type,Mf,Conn 44 Type,Conn 64 Type,Mp,Conn 89 Type,Conn 84 Type,Conn 68 Type,Conn 36 Type,Conn 82 Type,Conn 62 Type,Conn 66 Type,Conn 72 Type,Conn 79 Type,Conn 55 Type,Conn 47 Type,Conn 26 Type,Conn 87 Type,Conn 60 Type,Conn 94 Type,Conn 61 Type,Conn 56 Type,Conn 65 Type,Conn 27 Type,Conn 99 Type,Conn 90 Type,Conn 49 Type,Conn 69 Type,Description,Conn 71 Type,Conn 37 Type,Digi-Key Part Number,Conn 52 Type,Conn 31 Type,Conn 59 Type,Conn 74 Type,Conn 50 Type,Conn 30 Type,Conn 35 Type,Conn 29 Type,Conn 33 Type,Conn 92 Type,Conn 63 Type,Conn 97 Type,Conn 98 Type,Conn 85 Type,Conn 32 Type,Conn 57 Type,Conn 45 Type
C1,,,GRM0335C1E470JA01D,,,1,qualified_1,passive,passive,GRM0335C1E470JA01D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10 C11 C8 C9,,,GRM033R60J104KE19D,,,4,qualified_1@eagle_src_repo_d00aa7e5b0aed880e2479218df7f64b10b504166,passive,passive,GRM033R60J104KE19D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12 C14 C290 C291 C292 C293 C297 C298 C307,,,GRM033R60J104KE19D,,,9,qualified_1,passive,passive,GRM033R60J104KE19D,0.25,0,5.600,28.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C13 C262,,,CL31A106KBHNNNE,,,2,qualified_1@eagle_src_repo_f26ba765df9be4aea4dc36b2b99244de1327d3cb,passive,passive,CL31A106KBHNNNE,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C15 C299 C313,,,CL05A105KO5NNNC,,,3,qualified_1,passive,passive,CL05A105KO5NNNC,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C158 C167,,,CGB3B1X5R1A475K055AC,,,2,qualified_1@eagle_src_repo_701dee95a4f0c9d27f896634bd535ea9ef5a137e,passive,passive,CGB3B1X5R1A475K055AC,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16 C18 C22 C23 C24 C26 C27 C28 C29 C294 C295 C296 C303 C31 C314 C32 C33,,,GRM033R60J104KE19D,,,17,qualified_1@eagle_src_repo_b39d46a5feff4f7ade7f2a4f70c4d4847a03ea32,passive,passive,GRM033R60J104KE19D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C17,,,CGB3B1X5R1A475K055AC,,,1,qualified_1@eagle_src_repo_b39d46a5feff4f7ade7f2a4f70c4d4847a03ea32,passive,passive,CGB3B1X5R1A475K055AC,0.5,0,70.250,17.350,5,180.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19,,,C,,,1,qualified_1@eagle_src_repo_b39d46a5feff4f7ade7f2a4f70c4d4847a03ea32,passive,passive,22uF,0.25,,,,,,R1000UF63V,R1000UF,R10UF,R100UF,1UF-FILM-250V,CA1000UF-50V,PANASONIC_C,CPOL-D,PANASONIC_D,PANASONIC_F,0201,BZ05,BZ02,1206,0805,0603,0402,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 C310,,,GRM31CR60J227ME11L,,,2,qualified_1@eagle_src_repo_0b5741b5d4abbb92614c593c71c49b300549e5ff,passive,passive,GRM31CR60J227ME11L,0.51,0,13.200,27.200,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20,,,GRM0335C1H220JA01D,,,1,qualified_1@eagle_src_repo_b39d46a5feff4f7ade7f2a4f70c4d4847a03ea32,passive,passive,GRM0335C1H220JA01D,0.25,0,-17.200,6.600,9,-270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C21,,,GRM0335C1H220JA01D,,,1,qualified_1@eagle_src_repo_b39d46a5feff4f7ade7f2a4f70c4d4847a03ea32,passive,passive,GRM0335C1H220JA01D,0.25,0,-20.800,6.600,9,-90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C25 C34,,,CGB3B1X5R1A475K055AC,,,2,qualified_1@eagle_src_repo_b39d46a5feff4f7ade7f2a4f70c4d4847a03ea32,passive,passive,CGB3B1X5R1A475K055AC,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C253 C254 C263 C264 C265 C266 C267 C268 C269 C273 C280 C281 C286 C287 C288 C289 C41 C42 C43 C44,,,GRM033R60J104KE19D,,,20,qualified_1@eagle_src_repo_701dee95a4f0c9d27f896634bd535ea9ef5a137e,passive,passive,GRM033R60J104KE19D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C255 C30,,,C0603C103K5RACTU,,,2,qualified_1@eagle_src_repo_f26ba765df9be4aea4dc36b2b99244de1327d3cb,passive,passive,C0603C103K5RACTU,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C256,,,GRM033R60J104KE19D,,,1,qualified_1@eagle_src_repo_83354d0c2c11c8ce792d5cc032a7091e5ff73f00,passive,passive,GRM033R60J104KE19D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C257 C261,,,GRM033R61C103KA12D,,,2,qualified_1@eagle_src_repo_08f38ff5c3a3a6fa35c93a02bac883b74ea519d0,passive,passive,GRM033R61C103KA12D,0.25,0,30.550,33.500,6,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C258 C259 C95,,,GRM033R60J104KE19D,,,3,qualified_1@eagle_src_repo_08f38ff5c3a3a6fa35c93a02bac883b74ea519d0,passive,passive,GRM033R60J104KE19D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C260,,,GRM033R60J104KE19D,,,1,qualified_1@eagle_src_repo_23ecad3ae72028015427fba7d2ea5a80aee78817,passive,passive,GRM033R60J104KE19D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C270,,,GRM033R71A682KA01D,,,1,qualified_1@eagle_src_repo_701dee95a4f0c9d27f896634bd535ea9ef5a137e,passive,passive,GRM033R71A682KA01D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C271 C94,,,GRM033R60J104KE19D,,,2,qualified_1@eagle_src_repo_08f38ff5c3a3a6fa35c93a02bac883b74ea519d0,passive,passive,GRM033R60J104KE19D,0.25,0,30.550,33.500,6,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C272,,,GRM033R60J104KE19D,,,1,qualified_1@eagle_src_repo_8819a94826fe107100c913d4ec412d3185f90c61,passive,passive,GRM033R60J104KE19D,0.25,0,5.600,28.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C274,,,GRM033R61C103KA12D,,,1,qualified_1@eagle_src_repo_8819a94826fe107100c913d4ec412d3185f90c61,passive,passive,GRM033R61C103KA12D,0.25,0,47.400,38.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C275,,,C1608X5R1A106M080AC,,,1,qualified_1@eagle_src_repo_8819a94826fe107100c913d4ec412d3185f90c61,passive,passive,C1608X5R1A106M080AC,0.5,0,56.200,38.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C276 C278,,,C,,,2,qualified_1@eagle_src_repo_8819a94826fe107100c913d4ec412d3185f90c61,passive,passive,DNP,0.25,,,,,,R1000UF63V,R1000UF,R10UF,R100UF,1UF-FILM-250V,CA1000UF-50V,PANASONIC_C,CPOL-D,PANASONIC_D,PANASONIC_F,0201,BZ05,BZ02,1206,0805,0603,0402,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C277 C279,,,GRM31CR60J227ME11L,,,2,qualified_1@eagle_src_repo_8819a94826fe107100c913d4ec412d3185f90c61,passive,passive,GRM31CR60J227ME11L,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C282 C283,,,C1608X5R1C475K080AC,,,2,qualified_1@eagle_src_repo_701dee95a4f0c9d27f896634bd535ea9ef5a137e,passive,passive,C1608X5R1C475K080AC,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C284,,,C,,,1,qualified_1,passive,passive,DNP,0.25,0,5.600,28.400,2,90.000,R1000UF63V,R1000UF,R10UF,R100UF,,,PANASONIC_C,CPOL-D,PANASONIC_D,PANASONIC_F,0201,BZ05,BZ02,1206,0805,0603,0402,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C285,,,UMK063CG100DTF,,,1,qualified_1@eagle_src_repo_701dee95a4f0c9d27f896634bd535ea9ef5a137e,passive,passive,UMK063CG100DTF,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,,,C1608X5R1A106M080AC,,,1,qualified_1@eagle_src_repo_d00aa7e5b0aed880e2479218df7f64b10b504166,passive,passive,C1608X5R1A106M080AC,0.5,0,56.200,38.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C300 C81,,,CGB3B1X5R1A475K055AC,,,2,qualified_1,passive,passive,CGB3B1X5R1A475K055AC,0.5,0,66.900,11.100,4,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C301,,,GRM0335C1H220JA01D,,,1,qualified_1,passive,passive,GRM0335C1H220JA01D,0.25,0,-17.200,6.600,9,-270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C302,,,GRM0335C1H220JA01D,,,1,qualified_1,passive,passive,GRM0335C1H220JA01D,0.25,0,-20.800,6.600,9,-90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C304,,,GRM033R60J104KE19D,,,1,qualified_1@eagle_src_repo_d00aa7e5b0aed880e2479218df7f64b10b504166,passive,passive,GRM033R60J104KE19D,0.25,0,5.600,28.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C305,,,GRM033R61C103KA12D,,,1,qualified_1@eagle_src_repo_d00aa7e5b0aed880e2479218df7f64b10b504166,passive,passive,GRM033R61C103KA12D,0.25,0,47.400,38.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C306 C7,,,GRM31CR60J227ME11L,,,2,qualified_1@eagle_src_repo_d00aa7e5b0aed880e2479218df7f64b10b504166,passive,passive,GRM31CR60J227ME11L,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C308 C311 C312 C4 C5 C6,,,GRM033R60J104KE19D,,,6,qualified_1@eagle_src_repo_0b5741b5d4abbb92614c593c71c49b300549e5ff,passive,passive,GRM033R60J104KE19D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C309 C318,,,GRM033R60J104KE19D,,,2,qualified_1@eagle_src_repo_0b5741b5d4abbb92614c593c71c49b300549e5ff,passive,passive,GRM033R60J104KE19D,0.25,0,5.600,28.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C315 C316 C52 C78,,,GRM033R61C103KA12D,,,4,qualified_1@eagle_src_repo_f26ba765df9be4aea4dc36b2b99244de1327d3cb,passive,passive,GRM033R61C103KA12D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C317 C79,,,EEE-1EA331UP,,,2,qualified_1@eagle_src_repo_f26ba765df9be4aea4dc36b2b99244de1327d3cb,passive,passive,EEE-1EA331UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C319,,,GRM0335C1E470JA01D,,,1,qualified_1@eagle_src_repo_c6614e3cc11e779d3ff6357e0a9e972de604ed16,passive,passive,GRM0335C1E470JA01D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C45 C46,,,C1608X5R1A106M080AC,,,2,qualified_1@eagle_src_repo_701dee95a4f0c9d27f896634bd535ea9ef5a137e,passive,passive,C1608X5R1A106M080AC,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
