Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Custom Library Id,Conn 1 Type,Conn 0 Type,Value,Height,Dm,Dx,Dy,Sheetno,Dr,Footprint Variant Name 13,Footprint Variant Name 12,Footprint Variant Name 11,Footprint Variant Name 10,Footprint Variant Name 17,Footprint Variant Name 16,Footprint Variant Name 15,Footprint Variant Name 14,Footprint Variant Name 9,Footprint Variant Name 8,Footprint Variant Name 7,Footprint Variant Name 6,Footprint Variant Name 5,Footprint Variant Name 4,Footprint Variant Name 3,Footprint Variant Name 2,Footprint Variant Name 1,Footprint Variant Name 0,Footprint Variant Name 18,Conn 7 Type,Conn 3 Type,Conn 4 Type,Conn 5 Type,Conn 8 Type,Conn 6 Type,Conn 2 Type,Conn 10 Type,Conn 11 Type,Conn 16 Type,Conn 13 Type,Conn 15 Type,Conn 12 Type,Conn 9 Type,Conn 14 Type,Conn 22 Type,Conn 19 Type,Conn 17 Type,Conn 20 Type,Conn 18 Type,Conn 25 Type,Mpn,Conn 21 Type,Oc Farnell,Oc Newark,Conn 24 Type,Conn 23 Type,Conn 76 Type,Conn 34 Type,Conn 67 Type,Conn 54 Type,Conn 51 Type,Conn 28 Type,Conn 88 Type,Conn 40 Type,Conn 78 Type,Conn 81 Type,Conn 73 Type,Conn 39 Type,Conn 42 Type,Conn 80 Type,Conn 93 Type,Conn 43 Type,Conn 46 Type,Conn 91 Type,Conn 48 Type,Conn 58 Type,Conn 95 Type,Conn 41 Type,Conn 53 Type,Conn 77 Type,Conn 96 Type,Conn 83 Type,Conn 38 Type,Conn 70 Type,Digi-Key Purchase Url,Conn 86 Type,Conn 75 Type,Mf,Conn 44 Type,Conn 64 Type,Mp,Conn 89 Type,Conn 84 Type,Conn 68 Type,Conn 36 Type,Conn 82 Type,Conn 62 Type,Conn 66 Type,Conn 72 Type,Conn 79 Type,Conn 55 Type,Conn 47 Type,Conn 26 Type,Conn 87 Type,Conn 60 Type,Conn 94 Type,Conn 61 Type,Conn 56 Type,Conn 65 Type,Conn 27 Type,Conn 99 Type,Conn 90 Type,Conn 49 Type,Conn 69 Type,Description,Conn 71 Type,Conn 37 Type,Digi-Key Part Number,Conn 52 Type,Conn 31 Type,Conn 59 Type,Conn 74 Type,Conn 50 Type,Conn 30 Type,Conn 35 Type,Conn 29 Type,Conn 33 Type,Conn 92 Type,Conn 63 Type,Conn 97 Type,Conn 98 Type,Conn 85 Type,Conn 32 Type,Conn 57 Type,Conn 45 Type
C63 C66 C88 C90 C91,,,GRM033R60J104KE19D,,,5,qualified_1@eagle_src_repo_635c6cefb04d901352cb5cab0982b753f09e9156,passive,passive,GRM033R60J104KE19D,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C64,,,C1608X5R1A106M080AC,,,1,qualified_1@eagle_src_repo_635c6cefb04d901352cb5cab0982b753f09e9156,passive,passive,C1608X5R1A106M080AC,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C65,,,CL05A105KO5NNNC,,,1,qualified_1@eagle_src_repo_635c6cefb04d901352cb5cab0982b753f09e9156,passive,passive,CL05A105KO5NNNC,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C80 C82,,,GRM033R60J104KE19D,,,2,qualified_1,passive,passive,GRM033R60J104KE19D,0.25,0,64.700,10.600,4,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C83,,,GRM033R60J104KE19D,,,1,qualified_1,passive,passive,GRM033R60J104KE19D,0.25,0,58.600,19.050,4,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C84,,,GRM033R60J104KE19D,,,1,qualified_1,passive,passive,GRM033R60J104KE19D,0.25,0,66.300,12.650,4,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C85,,,EMK105B7104KV-F,,,1,qualified_1@eagle_src_repo_825e5973c79738778b249d35b895f4444d985c7a,passive,passive,EMK105B7104KV-F,0.35,0,1.400,-9.000,9,-90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C86,,,EMK212BJ106KG-T,,,1,qualified_1@eagle_src_repo_825e5973c79738778b249d35b895f4444d985c7a,passive,passive,EMK212BJ106KG-T,0.51,0,74.600,25.600,1,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C87,,,CL05A105KO5NNNC,,,1,qualified_1@eagle_src_repo_825e5973c79738778b249d35b895f4444d985c7a,passive,passive,CL05A105KO5NNNC,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C89,,,CGB3B1X5R1A475K055AC,,,1,qualified_1,passive,passive,CGB3B1X5R1A475K055AC,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C92,,,C,,,1,qualified_1@eagle_src_repo_825e5973c79738778b249d35b895f4444d985c7a,passive,passive,22uF,0.25,0,71.300,21.800,1,270.000,R1000UF63V,R1000UF,R10UF,R100UF,1UF-FILM-250V,CA1000UF-50V,PANASONIC_C,CPOL-D,PANASONIC_D,PANASONIC_F,0201,BZ05,BZ02,1206,0805,0603,0402,1210,PANASONIC_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C93,,,UMK063CG100DTF,,,1,qualified_1@eagle_src_repo_825e5973c79738778b249d35b895f4444d985c7a,passive,passive,UMK063CG100DTF,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1 D11 D12 D19 D3 D4 D7,,,B72590D0050A060,,,7,qualified_1,passive,passive,B72590D0050A060,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D10 D15 D16 D17 D2 D5 D6 D9,,,PS04LTVA1,,,8,qualified_1,passive,passive,PS04LTVA1,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D13,,,150060RS75000,,,1,qualified_1,passive,passive,150060RS75000,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D14 D18,Schottky Diode,,CDBC540-G,,,2,qualified_1,passive,passive,CDBC540-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D8,,,150060GS75000,,,1,qualified_1,passive,passive,150060GS75000,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB1 FB18 FB19 FB2 FB20 FB3,,,BLM15PX121SN1D,,,6,qualified_1@eagle_src_repo_0b5741b5d4abbb92614c593c71c49b300549e5ff,passive,passive,BLM15PX121SN1D,0.35,0,11.200,28.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB10,,,BLM15PX121SN1D,,,1,qualified_1,passive,passive,BLM15PX121SN1D,0.35,0,56.400,28.200,2,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB11,,,BLM15PX121SN1D,,,1,qualified_1,passive,passive,BLM15PX121SN1D,0.35,0,54.000,38.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB12 FB13 FB14,,,BLM15PX121SN1D,,,3,qualified_1,passive,passive,BLM15PX121SN1D,0.35,0,49.400,38.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB15 FB17 FB4,,,BLM15PX121SN1D,,,3,qualified_1@eagle_src_repo_d00aa7e5b0aed880e2479218df7f64b10b504166,passive,passive,BLM15PX121SN1D,0.35,0,49.400,38.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB16,,,BLM15PX121SN1D,,,1,qualified_1@eagle_src_repo_d00aa7e5b0aed880e2479218df7f64b10b504166,passive,passive,BLM15PX121SN1D,0.35,0,54.000,38.400,2,90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB9,,,BLM15PX121SN1D,,,1,qualified_1@eagle_src_repo_635c6cefb04d901352cb5cab0982b753f09e9156,passive,passive,BLM15PX121SN1D,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC1 IC10,,,TPS2065CDGNR,,,2,qualified_1,i/o,i/o,TPS2065CDGNR,1.1,,,,,,,,,,,,,,,,,,,,,,,,,output,i/o,power,power,i/o,output,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC2 IC9,Single Bus <b>Buffer</b> Gate With 3-State Outputs,,SN74LV1T126DCKR,,,2,qualified_1,input,input,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,power,power,,,,output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC3,Single Bus <b>Buffer</b> Gate With 3-State Outputs,,SN74LV1T126DCKR,,,1,qualified_1,input,input,,1.1,0,58.050,17.100,4,90.000,,,,,,,,,,,,,,,,,,,,,power,power,,,,output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC4,,,TPS62111RSAT,,,1,qualified_1,input,input,TPS62111RSAT,1,0,74.800,22.000,1,180.000,,,,,,,,,,,,,,,,,,,,power,passive,input,output,output,power,power,input,power,input,power,power,power,power,power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC5,2-wire serial <B>EEPROM</B>,,CAT24C256YI-GT3,,,1,qualified_1,input,input,,1,,,,,,,,,,,,,,,,,,,,,,,,,power,input,i/o,i/o,,power,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC6,Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf,,FT232RQ-REEL,,,1,qualified_1,output,power,,0.9,0,61.700,13.850,4,0.000,,,,,,,,,,,,,,,,,,,,output,i/o,output,input,input,power,i/o,input,output,i/o,input,i/o,input,output,input,power,i/o,i/o,power,i/o,power,FT232RQ,input,1146033,91K9919,input,power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC7,,,EP5368QI,,,1,qualified_1,input,input,EP5368QI,1.1,,,,,,,,,,,,,,,,,,,,,,,,,input,input,power,input,power,passive,input,,,,power,,,power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC8,Single Bus <b>Buffer</b> Gate With 3-State Outputs,,SN74LVC1G126,,,1,qualified_1,input,input,,1.1,,,,,,,,,,,,,,,,,,,,,,,DCKR,,,power,power,,,,output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1 J8,<h3>USB 3.0 Host A</h3>,,10117836-002LF,,,2,qualified_1,passive,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,passive,passive,passive,passive,passive,passive,passive,,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2 J5,DF40 Series 100 Position Dual Row 0.4 mm Pitch Surface Mount Vertical Receptacle,,DF40C-100DS-0.4V(51),,None,2,qualified_1,passive,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,,passive,,,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,https://www.digikey.ca/product-detail/en/hirose-electric-co-ltd/DF40C-100DS-0.4V_51_/H11615CT-ND/1969495?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol,passive,passive,Hirose,passive,passive,DF40C-100DS-0.4V_51_,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive, DF40 Series 100 Position Dual Row 0.4 mm Pitch Surface Mount Vertical Receptacle ,passive,passive,H11615CT-ND,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive
J3,,,10118192-0001LF,,,1,qualified_1,i/o,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,i/o,i/o,i/o,i/o,i/o,i/o,i/o,i/o,,,,,,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J4,1000BASE-T Ethernet Jack,,7499111447,,,1,qualified_1,i/o,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,i/o,i/o,i/o,i/o,i/o,i/o,i/o,i/o,i/o,,i/o,i/o,i/o,i/o,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J6,"<h3>USB 3.0 Stacking Dual Host Port</h3>
<P>
<a href=""http://media.digikey.com/pdf/Data%20Sheets/Amphenol%20PDFs/GSB31123xxHR_Dwg.PDF"">http://media.digikey.com/pdf/Data%20Sheets/Amphenol%20PDFs/GSB31123xxHR_Dwg.PDF</a>",,GSB311231HR,,,1,qualified_1,passive,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,,passive,passive,passive,passive,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J7,"Detailed Description	Connector Header Through Hole, Right Angle 3 position 0.100"" (2.54mm) [SL 70533 Series]",,70553-0002,,,1,qualified_1,passive,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1,WR-COM Horizontal Dual Stacked USB Type A,,61400826021,,,1,qualified_1,i/o,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,i/o,i/o,i/o,i/o,i/o,i/o,i/o,i/o,i/o,,,,,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1 L19 L20 L21 L22 L3,,,DLP11SN900HL2L,,,6,qualified_1@eagle_src_repo_0b5741b5d4abbb92614c593c71c49b300549e5ff,passive,passive,DLP11SN900HL2L,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L10 L11 L12 L13 L7 L8 L9,,,DLP11SN900HL2L,,,7,qualified_1,passive,passive,DLP11SN900HL2L,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L14 L2,,,IHLP3232DZER100M11,,,2,qualified_1@eagle_src_repo_f26ba765df9be4aea4dc36b2b99244de1327d3cb,passive,passive,IHLP3232DZER100M11,,0,76.000,17.000,1,180.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L15,,,LQH44PN6R8MP0L,,,1,qualified_1@eagle_src_repo_825e5973c79738778b249d35b895f4444d985c7a,passive,passive,LQH44PN6R8MP0L, 1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L16 L17 L18 L4 L5 L6,,,DLP11SN900HL2L,,,6,qualified_1@eagle_src_repo_d00aa7e5b0aed880e2479218df7f64b10b504166,passive,passive,DLP11SN900HL2L,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP1 MP2 MP3 MP4,Bullet connector (for RC) solder pad.,,9774015151R,,,4,qualified_1,,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1 Q4 Q5,<b>N-Channel Enhancement MOSFET</b>,,BSS138,,,3,qualified_1,passive,passive,BSS138,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2 Q3,,,FDN360P,,,2,qualified_1,passive,passive,FDN360P,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1 R27 R51 R55,,,RC0201FR-0710KL,,,4,qualified_1,passive,passive,RC0201FR-0710KL,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10 R11,,,ERJ-1GEJ204C,,,2,qualified_1,passive,passive,ERJ-1GEJ204C,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R12 R59,,,RC0201FR-07100KL,,,2,qualified_1@eagle_src_repo_f26ba765df9be4aea4dc36b2b99244de1327d3cb,passive,passive,RC0201FR-07100KL,0.25,0,-20.800,8.200,9,-270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
