Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Custom Library Id,Conn 1 Type,Conn 0 Type,Value,Height,Dm,Dx,Dy,Sheetno,Dr,Footprint Variant Name 13,Footprint Variant Name 12,Footprint Variant Name 11,Footprint Variant Name 10,Footprint Variant Name 17,Footprint Variant Name 16,Footprint Variant Name 15,Footprint Variant Name 14,Footprint Variant Name 9,Footprint Variant Name 8,Footprint Variant Name 7,Footprint Variant Name 6,Footprint Variant Name 5,Footprint Variant Name 4,Footprint Variant Name 3,Footprint Variant Name 2,Footprint Variant Name 1,Footprint Variant Name 0,Footprint Variant Name 18,Conn 7 Type,Conn 3 Type,Conn 4 Type,Conn 5 Type,Conn 8 Type,Conn 6 Type,Conn 2 Type,Conn 10 Type,Conn 11 Type,Conn 16 Type,Conn 13 Type,Conn 15 Type,Conn 12 Type,Conn 9 Type,Conn 14 Type,Conn 22 Type,Conn 19 Type,Conn 17 Type,Conn 20 Type,Conn 18 Type,Conn 25 Type,Mpn,Conn 21 Type,Oc Farnell,Oc Newark,Conn 24 Type,Conn 23 Type,Conn 76 Type,Conn 34 Type,Conn 67 Type,Conn 54 Type,Conn 51 Type,Conn 28 Type,Conn 88 Type,Conn 40 Type,Conn 78 Type,Conn 81 Type,Conn 73 Type,Conn 39 Type,Conn 42 Type,Conn 80 Type,Conn 93 Type,Conn 43 Type,Conn 46 Type,Conn 91 Type,Conn 48 Type,Conn 58 Type,Conn 95 Type,Conn 41 Type,Conn 53 Type,Conn 77 Type,Conn 96 Type,Conn 83 Type,Conn 38 Type,Conn 70 Type,Digi-Key Purchase Url,Conn 86 Type,Conn 75 Type,Mf,Conn 44 Type,Conn 64 Type,Mp,Conn 89 Type,Conn 84 Type,Conn 68 Type,Conn 36 Type,Conn 82 Type,Conn 62 Type,Conn 66 Type,Conn 72 Type,Conn 79 Type,Conn 55 Type,Conn 47 Type,Conn 26 Type,Conn 87 Type,Conn 60 Type,Conn 94 Type,Conn 61 Type,Conn 56 Type,Conn 65 Type,Conn 27 Type,Conn 99 Type,Conn 90 Type,Conn 49 Type,Conn 69 Type,Description,Conn 71 Type,Conn 37 Type,Digi-Key Part Number,Conn 52 Type,Conn 31 Type,Conn 59 Type,Conn 74 Type,Conn 50 Type,Conn 30 Type,Conn 35 Type,Conn 29 Type,Conn 33 Type,Conn 92 Type,Conn 63 Type,Conn 97 Type,Conn 98 Type,Conn 85 Type,Conn 32 Type,Conn 57 Type,Conn 45 Type
R13 R62,,,R,,,2,qualified_1,passive,passive,1M0,0.51,0,-20.800,8.200,9,-270.000,,,,,,,,,,,,2010,2512,1206,0805,0201,0402,0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R14 R15,,,RC0201FR-0710KL,,,2,qualified_1,passive,passive,RC0201FR-0710KL,0.25,0,-17.200,8.200,9,-270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R16,,,ERJ-1GEF1202C,,,1,qualified_1,passive,passive,ERJ-1GEF1202C,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R17 R61,,,ERJ-2RKF3162X,,,2,qualified_1@eagle_src_repo_f26ba765df9be4aea4dc36b2b99244de1327d3cb,passive,passive,ERJ-2RKF3162X,0.35,0,-20.800,8.200,9,-270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R18 R68,,,CR0805-J/-000ELF,,,2,qualified_1@eagle_src_repo_f26ba765df9be4aea4dc36b2b99244de1327d3cb,passive,passive,CR0805-J/-000ELF,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R19,,,RC1005J000CS,,,1,qualified_1@eagle_src_repo_825e5973c79738778b249d35b895f4444d985c7a,passive,passive,RC1005J000CS,0.35,0,72.800,18.400,1,270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,ERJ-1GNJ151C,,,1,qualified_1,passive,passive,ERJ-1GNJ151C,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R20,,,R,,,1,qualified_1@eagle_src_repo_825e5973c79738778b249d35b895f4444d985c7a,passive,passive,1M0,0.51,,,,,,,,,,,,,,,,,2010,2512,1206,0805,0201,0402,0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R21,,,RC0201JR-070RL,,,1,qualified_1@eagle_src_repo_825e5973c79738778b249d35b895f4444d985c7a,passive,passive,RC0201JR-070RL,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R22,,,R,,,1,qualified_1@eagle_src_repo_825e5973c79738778b249d35b895f4444d985c7a,passive,passive,DNP,0.51,0,72.800,18.400,1,270.000,,,,,,,,,,,,2010,2512,1206,0805,0201,0402,0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R23 R33 R34 R35 R36 R37 R42 R58,,,ERJ-1GEF49R9C,,,8,qualified_1@eagle_src_repo_635c6cefb04d901352cb5cab0982b753f09e9156,passive,passive,ERJ-1GEF49R9C,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R24 R25,,,ERJ-1GEJ331C,,,2,qualified_1@eagle_src_repo_635c6cefb04d901352cb5cab0982b753f09e9156,passive,passive,ERJ-1GEJ331C,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26 R40,,,P1.0KAGTR-ND,,,2,qualified_1,passive,passive,P1.0KAGTR-ND,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R28 R30 R47 R52 R53 R54,,,RC0201FR-07100KL,,,6,qualified_1,passive,passive,RC0201FR-07100KL,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R29 R45,,,ERJ-2RKF3000X,,,2,qualified_1,passive,passive,ERJ-2RKF3000X,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3 R65 R69,,,RC0201JR-070RL,,,3,qualified_1,passive,passive,RC0201JR-070RL,0.25,0,-17.200,8.200,9,-270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R31 R44 R49 R50,,,RC0201JR-070RL,,,4,qualified_1,passive,passive,RC0201JR-070RL,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R32,,,RC0201FR-0712K1L,,,1,qualified_1,passive,passive,RC0201FR-0712K1L,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R38,,,RC0201FR-0710KL,,,1,qualified_1@eagle_src_repo_83354d0c2c11c8ce792d5cc032a7091e5ff73f00,passive,passive,RC0201FR-0710KL,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R39,,,RC0201JR-070RL,,,1,qualified_1@eagle_src_repo_83354d0c2c11c8ce792d5cc032a7091e5ff73f00,passive,passive,RC0201JR-070RL,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4,,,ERJ-1GEF1202C,,,1,qualified_1,passive,passive,ERJ-1GEF1202C,0.25,0,-20.800,8.200,9,-270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R41,,,ERJ-1GNF10R0C,,,1,qualified_1@eagle_src_repo_635c6cefb04d901352cb5cab0982b753f09e9156,passive,passive,ERJ-1GNF10R0C,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R43,,,CRCW040275R0FKEDC,,,1,qualified_1@eagle_src_repo_08f38ff5c3a3a6fa35c93a02bac883b74ea519d0,passive,passive,CRCW040275R0FKEDC,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R48 R67 R9,,,R,,,3,qualified_1,passive,passive,DNP,0.51,,,,,,,,,,,,,,,,,2010,2512,1206,0805,0201,0402,0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5 R6 R63 R64 R7 R8,,,RC0201FR-07100KL,,,6,qualified_1,passive,passive,RC0201FR-07100KL,0.25,0,-20.800,8.200,9,-270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R56 R57,,,ERJ-1GNJ152C,,,2,qualified_1,passive,passive,ERJ-1GNJ152C,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R60,,,RC0201JR-070RL,,,1,qualified_1,passive,passive,RC0201JR-070RL,0.25,0,-20.800,8.200,9,-270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R66,,,ERJ-1GNF10R0C,,,1,qualified_1,passive,passive,ERJ-1GNF10R0C,0.25,0,-17.200,8.200,9,-270.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R70,,,RC0201FR-0710KL,,,1,qualified_1@eagle_src_repo_c6614e3cc11e779d3ff6357e0a9e972de604ed16,passive,passive,RC0201FR-0710KL,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R71,,,ERJ-1GNJ151C,,,1,qualified_1@eagle_src_repo_c6614e3cc11e779d3ff6357e0a9e972de604ed16,passive,passive,ERJ-1GNJ151C,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP1 RP2 RP3,,,RP741X083,,,3,qualified_1,passive,passive,DNP,0.4,,,,,,,,,,,,,,,,,,,,,,,741X08,,passive,passive,passive,passive,,passive,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,,,EVQ-PLDA15,,,1,qualified_1,passive,passive,EVQ-PLDA15,2,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,,,EVQ-P7C01P,,,1,qualified_1,passive,passive,EVQ-P7C01P,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOC U$1 U$10 U$15 U$18 U$19 U$2 U$20 U$22 U$23 U$25 U$26 U$27 U$29 U$30 U$31 U$32 U$33 U$34 U$35 U$36 U$5 U$7 U$8 U$9,,,A3-L-GUMSTIX,,,25,qualified_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP1 TP2,,,TP,,,2,qualified_1,,i/o,DNP,0,,,,,,,,,,,,,,,,RCU,PH_1.7MM,PTH_2.6MM,ED9004,WP1,WG,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U$24,"<h3>4-bit Bidirectional Level Translator</h3>
<p>
<a href='http://www.ti.com/lit/ds/symlink/txs0104e.pdf'>http://www.ti.com/lit/ds/symlink/txs0104e.pdf</a>",,TXS0104ERGYR,,,1,qualified_1,i/o,power,TXS0104ERGYR,,,,,,,,,,,,,,,,,,,,,,,,,,i/o,i/o,i/o,power,i/o,i/o,i/o,power,input,,i/o,,i/o,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U1 U17,,,TPS5450QDDARQ1,,,2,qualified_1,i/o,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,i/o,i/o,i/o,i/o,i/o,i/o,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U10,"<h3>ASM1142</h3>
<p>
PCI Express to 2 ports SuperSpeed USB 10Gbps
xHCI Host Controller",,ASM1142,,,1,qualified_1,i/o,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,i/o,i/o,i/o,i/o,i/o,i/o,i/o,i/o,i/o,power,i/o,i/o,i/o,i/o,i/o,i/o,power,power,power,power,i/o,,i/o,,,i/o,i/o,,i/o,,,,i/o,,i/o,,,,i/o,i/o,,,i/o,power,,power,,,i/o,,,,,i/o,,,,,,i/o,,,,,,i/o,,,,,,,power,i/o,,,,,,,i/o,,,,,,,i/o,,,i/o,,,,i/o,i/o,i/o,i/o,,,,,,i/o,,power
U11,,,TPS2052BDGNR,,,1,qualified_1,i/o,i/o,TPS2052BDGNR,1.1,,,,,,,,,,,,,,,,,,,,,,,,,output,i/o,power,power,i/o,output,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U12,,,67996-140HLF,,,1,qualified_1,passive,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,,passive,,,passive,passive,,passive,,,,passive,,,,,,passive,,,,,,,,,,,,,,,passive,,,,,,,,,,,,passive,,,,,,,,passive,,,,,,,passive,,,,,,,passive,,,passive,,,,passive,passive,passive,passive,,,,,,passive,,
U13,,,USB2513B-AEZG,,,1,qualified_1,passive,power,USB2513B-AEZG,1,,,,,,,,,,,,,,,,,,,,,,,,,i/o,i/o,power,power,passive,i/o,i/o,i/o,i/o,i/o,i/o,i/o,i/o,passive,i/o,passive,i/o,i/o,passive,i/o,passive,,passive,,,passive,passive,,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,,,,,,power,,,,power,,power,,,,,,,power,,
U14,,,685119134923,,,1,qualified_1,passive,passive,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,passive,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U15,"<h3>USB5744</h3>
<p>
4-Port SS/HS USB Controller Hub
<p>
<a href=""http://ww1.microchip.com/downloads/en/DeviceDoc/00001855D.pdf"">http://ww1.microchip.com/downloads/en/DeviceDoc/00001855D.pdf</a>",,USB5744/2G,,,1,qualified_1,passive,power,,,,,,,,,,,,,,,,,,,,,,,,,,,i/o,i/o,power,power,passive,i/o,i/o,i/o,i/o,passive,i/o,i/o,i/o,i/o,i/o,i/o,i/o,passive,i/o,i/o,i/o,,i/o,,,i/o,i/o,,i/o,,,,i/o,,i/o,,,,i/o,passive,,,passive,passive,,,,,passive,,,,,i/o,,,,,,passive,,,,,,i/o,,,,,,,,i/o,,,,,,,i/o,,,,,,,i/o,,,i/o,,,,i/o,i/o,i/o,i/o,,,,,,i/o,,passive
U16 U2 U20 U21 U22 U23 U3 U4 U5 U6 U7 U8,"<h3>TPD4E02B04</h3>
4-Channel ESD Protection Diode for USB Type-C and HDMI 2.0
<p>
<a href=""http://www.ti.com/lit/ds/symlink/tpd4e02b04.pdf"">http://www.ti.com/lit/ds/symlink/tpd4e02b04.pdf</a>",,TPD4E02B04DQAR,,,12,qualified_1,passive,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,passive,passive,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U18,"<a href=""http://www.analog.com/media/en/technical-documentation/data-sheets/ADP1740_1741.pdf"">ADP1740</a> series of fixed voltage LDO. Max 2A output at 0.75, 1, 1.1, 1.2, 1.3, 1.5, 1.8, 2.5V",,ADP1740ACPZ-1.2-R7,,,1,qualified_1,input,open emitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,output,passive,,open emitter,open emitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U19,"<b>TS3A5223</b><br>
0.45â„¦ Dual SPDT Bidirectional Analog Switch<br>
Package: <b>UQFN-10</b>
<br><br>
Source: <a href=""http://www.ti.com/lit/ds/symlink/ts3a5223.pdf"">http://www.ti.com/lit/ds/symlink/ts3a5223.pdf</a>",,TS3A5223RSWR,,,1,qualified_1,i/o,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,power,i/o,input,input,i/o,power,i/o,,,,,,,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U24,,,TPS2066CDGNR,,,1,qualified_1,i/o,i/o,TPS2066CDGNR,1.1,,,,,,,,,,,,,,,,,,,,,,,,,output,i/o,power,power,i/o,output,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U9,"<h3>TPD13S523</h3>
<p>
13-Channel ESD Protection Solution With Current-Limit Load Switch For HDMI Transmitter Ports
<p>
<a href='http://www.ti.com/lit/ds/symlink/tpd13s523.pdf'>http://www.ti.com/lit/ds/symlink/tpd13s523.pdf</a>",,TPD13S523PWR,,,1,qualified_1,i/o,i/o,,,,,,,,,,,,,,,,,,,,,,,,,,,i/o,i/o,i/o,i/o,open emitter,i/o,i/o,i/o,i/o,,i/o,open emitter,i/o,i/o,open emitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1,,,ABM8G-24.000MHZ-18-D2Y-T,,,1,qualified_1,passive,passive,ABM8G-24.000MHZ-18-D2Y-T,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2,,,ABM7-25.000MHZ-D2Y-T,,,1,qualified_1@eagle_src_repo_b39d46a5feff4f7ade7f2a4f70c4d4847a03ea32,passive,passive,ABM7-25.000MHZ-D2Y-T,1.5,-1,-19.200,7.600,9,-90.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y3,,,ABM8G-20.000MHZ-18-D2Y-T,,,1,qualified_1,passive,passive,ABM8G-20.000MHZ-18-D2Y-T,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,passive,,,,,passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
