Designator,Mid X,Mid Y,Layer,Rotation
C3,28.98,32.82,Top,270
C8,11.86,59.26,Top,90
C9,13.72,56.26,Top,180
C10,9.7,50.8,Top,180
C13,38.28,19.91,Top,90
C14,26.82,44.91,Top,180
C16,15.54,11.51,Top,0
C17,23.42,10.95,Top,180
C18,23.42,9.96,Top,180
C21,14.61,14.1,Top,270
C22,16.79,14.1,Top,270
C23,20.42,25.58,Top,90
C24,21.51,25.58,Top,270
C25,27.48,59.36,Top,90
C26,21.49,59.36,Top,270
C27,10.82,59.26,Top,270
C28,23.5,59.33,Top,270
C30,26.82,45.9,Top,180
C31,10.95,46.89,Top,0
C32,19.48,53.16,Top,270
C33,24.21,53.11,Top,270
C34,25.22,53.11,Top,270
C35,26.9,50.67,Top,180
C36,26.92,41.76,Top,180
C38,16.21,37.16,Top,90
C39,10.97,41.05,Top,180
C40,10.95,44.86,Top,0
C41,10.95,45.85,Top,0
C42,9.73,48.84,Top,0
C43,10.97,40.03,Top,180
C44,16.05,53.16,Top,270
C45,18.49,54.03,Top,270
D1,32.77,36.65,Top,90
D2,32.77,37.85,Top,90
D3,32.77,41.4,Top,90
D4,32.77,43.79,Top,90
D5,32.77,45.01,Top,90
D6,32.77,39.04,Top,90
D7,32.77,40.21,Top,90
D8,32.77,42.6,Top,90
IC1,22.99,31.34,Top,0
IC2,19.53,45.11,Top,90
IC3,19.41,59.28,Top,180
IC5,16.54,59.23,Top,180
IC7,20.12,20.6,Top,0
L2,20.02,15.06,Top,90
L3,36.02,47.73,Top,180
R4,27.84,32.82,Top,90
R5,18.11,31.19,Top,90
R6,26.9,48.64,Top,0
R7,26.9,49.63,Top,0
R8,36.07,36.96,Top,0
R9,36.07,41.55,Top,0
R11,11.73,50.8,Top,0
R12,36.07,35.46,Top,0
R13,36.07,44.58,Top,0
R14,36.07,46.08,Top,0
R15,36.07,38.48,Top,0
R16,36.07,40.06,Top,0
R17,36.07,43.05,Top,0
R18,9.8,59.26,Top,90
R19,15.54,9.83,Top,180
R20,23.42,11.94,Top,0
R22,15.54,8.79,Top,180
R23,19.28,25.58,Top,90
R25,23.42,8.94,Top,180
R26,10.41,8.92,Top,0
R28,15.72,14.1,Top,270
R29,24.13,19.81,Top,0
R31,26.42,59.36,Top,90
R33,25.37,59.36,Top,270
U7,19.61,10.24,Top,0
Y1,12.19,53.52,Top,0
C4,9.75,43.94,Bottom,0
C5,9.7,46.48,Bottom,0
C6,9.7,47.73,Bottom,0
C7,9.75,42.67,Bottom,0
C11,9.91,37.82,Bottom,180
C15,19.28,37.11,Bottom,90
C19,13.36,21.95,Bottom,270
C20,15.21,20.37,Bottom,180
C37,21.44,37.13,Bottom,90
C46,9.93,35.05,Bottom,0
F1,11.13,13.28,Bottom,180
IC4,22.5,57.3,Bottom,180
J1,6.19,33.15,Bottom,90
L1,10.34,36.42,Bottom,180
R1,10.36,32.87,Bottom,0
R2,9.5,26.85,Bottom,90
R3,9.63,16.08,Bottom,90
R10,20.42,56.29,Bottom,90
R21,15.21,21.46,Bottom,180
SW1,15.01,24.84,Bottom,180